"140","143","202","All-wheel drive","Audi 3.2L 6 cylinder 250hp 236ft-lbs","True","6","6 Speed Automatic Select Shift","18","Gasoline","25","Automatic transmission","2009 Audi A3 3.2","Audi","2009 Audi A3","2009","250","236"
"140","143","202","Front-wheel drive","Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","22","Gasoline","28","Automatic transmission","2009 Audi A3 2.0 T AT","Audi","2009 Audi A3","2009","200","207"
"140","143","202","Front-wheel drive","Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo","True","6","6 Speed Manual","21","Gasoline","30","Manual transmission","2009 Audi A3 2.0 T","Audi","2009 Audi A3","2009","200","207"
"172","63","87","Front-wheel drive","Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs","True","6","6 Speed Automatic Select Shift","20","Gasoline","29","Automatic transmission","2012 Acura TL","Acura","2012 Acura TL","2012","280","254"
"172","63","87","All-wheel drive","Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs","True","6","6 Speed Automatic Select Shift","18","Gasoline","26","Automatic transmission","2012 Acura TL SH-AWD","Acura","2012 Acura TL","2012","305","273"
"226","243","201","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2010 BMW X5 M SUV","BMW","2010 BMW X5","2010","555","500"
"226","243","201","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2011 BMW X5 M SUV","BMW","2011 BMW X5","2011","555","500"
"163","89","237","Four-wheel drive","Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs","True","6","6 Speed Automatic Select Shift","13","Gasoline","17","Automatic transmission","2012 Toyota Sequoia SR5 5.7L 4WD","Toyota","2012 Toyota Sequoia","2012","381","401"
"163","89","237","Four-wheel drive","Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV","True","6","6 Speed Automatic Select Shift","13","Gasoline","17","Automatic transmission","2012 Toyota Sequoia SR5 FFV","Toyota","2012 Toyota Sequoia","2012","381","401"
"163","89","237","Rear-wheel drive","Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs","True","6","6 Speed Automatic Select Shift","13","Gasoline","18","Automatic transmission","2012 Toyota Sequoia Limited","Toyota","2012 Toyota Sequoia","2012","381","401"
"163","89","237","Four-wheel drive","Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs","True","6","6 Speed Automatic Select Shift","13","Gasoline","17","Automatic transmission","2012 Toyota Sequoia Limited 4WD","Toyota","2012 Toyota Sequoia","2012","381","401"
"163","89","237","Four-wheel drive","Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV","True","6","6 Speed Automatic Select Shift","13","Gasoline","17","Automatic transmission","2012 Toyota Sequoia Limited FFV","Toyota","2012 Toyota Sequoia","2012","381","401"
"148","98","194","All-wheel drive","GMC 3.0L 6 Cylinder 264 hp 222 ft-lbs FFV","True","6","6 Speed Automatic","12","E85","17","Automatic transmission","2012 GMC Terrain SLT-2 264 hp AWD","GMC","2012 GMC Terrain","2012","264","222"
"161","10","214","Rear-wheel drive","GMC 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV","True","6","6 Speed Automatic","15","Gasoline","21","Automatic transmission","2012 GMC Yukon SLE","GMC","2012 GMC Yukon","2012","320","335"
"161","10","214","Four-wheel drive","GMC 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV","True","6","6 Speed Automatic","15","Gasoline","21","Automatic transmission","2012 GMC Yukon SLE 4WD","GMC","2012 GMC Yukon","2012","320","335"
"161","10","214","Rear-wheel drive","GMC 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV","True","6","6 Speed Automatic","11","E85","16","Automatic transmission","2012 GMC Yukon SLT","GMC","2012 GMC Yukon","2012","320","335"
"157","37","244","Front-wheel drive","Saab 2.0L 4 Cylinder 220 hp 258 ft-lbs Turbo FFV","True","6","6 Speed Automatic Select Shift","18","Gasoline","28","Automatic transmission","2012 Saab 9-3 Convertible Aero","Saab","2012 Saab 9-3 Convertible","2012","220","258"
"157","37","244","Front-wheel drive","Saab 2.0L 4 Cylinder 220 hp 258 ft-lbs Turbo FFV","True","6","6 Speed Manual","15","E85","23","Manual transmission","2012 Saab 9-3 Convertible Aero MT","Saab","2012 Saab 9-3 Convertible","2012","220","258"
